docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
uc2.ark+=13960=t52f7m21r,1913,1913,1913,random,6517156,,Fare[COMMA] John Thomas[COMMA],Los Angeles[COMMA] Cal.;Grafton Publishing Company;c1913,,In the wilderness,,,,,,1859,m,us,,,
loc.ark+=13960=t6834m35p,1913,1913,1913,random,9577242,,Raymond[COMMA] George Lansing[COMMA],New York [etc.;G. P. Putnam[APOSTROPHE]s sons;1913.,,The mountains about Williamstown,,,,,,1839,m,us,,,
nyp.33433066569447,1913,1913,1913,random,8656831,,Seitz[COMMA] Howard Buckwalter[COMMA],New York;The Cosmopolitan Press;1913.,,Aeolic lyrics,,,,,,1886,m,us,,,
loc.ark+=13960=t6rx9vf7j,1913,1913,1913,random,9583246,,Courtney[COMMA] T. Alcliffe.,Chicopee Falls[COMMA] Mass.;The Rich print;1913.,,Songs of love,,,,,,,,,,,
uc1.b4100781,1914,1914,1912,reviewed,1186355,582776,Sterling[COMMA] George[COMMA],San Francisco;A. M. Robertson;1914.,copy 2,Beyond the breakers,pub,,,1912,PMV,1869,m,us,,,
mdp.39015030719945,1917,1917,1912,reviewed,1188482,2195973,Widdemer[COMMA] Margaret.,New York;H. Holt and company;1917.,,Factories[COMMA] poems,pub,,,1912,PMV,1884,f,us,,,
uc1.b3335682,1912,1912,1912,reviewed,7688219,3105162,Gibson[COMMA] Wilfrid Wilson[COMMA],London;E. Mathews;1912.,v. 2,Fires,rev,pos,,1914,FR,1878,m,uk,,,
uc1.b3335683,1912,1912,1912,reviewed,7688219,3105162,Gibson[COMMA] Wilfrid Wilson[COMMA],London;E. Mathews;1912.,v. 3,Fires,rev,pos,,1914,FR,1878,m,uk,,,
uc2.ark+=13960=t0gt5hn4z,1912,1912,1912,reviewed,6639605,3753934,Akins[COMMA] ZoÃ«[COMMA],New York;M. Kennerley;1912.,,Interpretations,rev,,,1912,PMV,1886,f,us,,,
nyp.33433066650874,1912,1912,1912,reviewed,7912639,1864746,Leonard[COMMA] William Ellery[COMMA],New York;B. W. Huebsch;1912.,,The vaunt of man;,rev,,,1913,PMV,1876,m,us,,,
loc.ark+=13960=t3st8fg8k,1912,1912,1912,reviewed,6607057,2025794,Burr[COMMA] Amelia Josephine[COMMA],New York;George H. Doran Company;c1912,,The roadside fire,rev,,,1913,PMV,1878,f,us,,,
uc1.b3345658,1912,1912,1912,reviewed,7925688,13641242,Sweeny[COMMA] Mildred M[APOSTROPHE] Neal.,London;Unwin;1912.,,Men of no land[COMMA] and other poems,rev,,,1914,PMV,,f,uk,,obscure,
loc.ark+=13960=t04x5sr13,1912,1912,1912,reviewed,9563049,4315307,Smith[COMMA] Clark Ashton[COMMA],San Francisco[COMMA] Cal.;A. M. Robertson;1912.,,The star-treader,rev,,,1913,PMV,1893,m,us,,,
mdp.39015063931839,1912,1912,1912,reviewed,246795,3945103,How[COMMA] Louis[COMMA],Boston;Sherman[COMMA] French & company;1912.,,The youth replies,rev,,,1913,PMV,1873,m,us,,,
nyp.33433074890983,1912,1912,1912,reviewed,7912891,2726013,Masefield[COMMA] John[COMMA],New York;The Macmillan Company;1912.,,The story of a round-house,rev,,,1913,PMV,1878,m,uk,,Laureate!,
nyp.33433066651120,1912,1912,1912,random,8656531,,Lindsey[COMMA] Frederick Brooks.,Boston;Sherman[COMMA] French[COMMA] & company;1912.,,The spirit Prospero,,,,,,1871,m,us,,,
nnc1.cu54856230,1912,1912,1912,random,8416975,,Gladden[COMMA] Washington[COMMA],Boston[COMMA] New York [etc.;The Pilgrim press;c1912,,Ultima veritas[COMMA] and other verses,,,,,,1836,m,us,,,
uc2.ark+=13960=t41r6ng25,1912,1912,1912,random,7675249,,Underwood[COMMA] John Curtis[COMMA],New York;1912.,,Americans,,,,,,1874,m,us,,,
nyp.33433066657317,1912,1912,1912,random,7672735,,Shepard[COMMA] Mary Norsworthy.,Boston;Sherman[COMMA] French;1912.,,Where it listeth,,,,,,,,,,,
mdp.39015051715038,1914,1914,1912,random,1907795,,<blank>,New York;Putnam;1914.,,Georgian poetry[COMMA] 1911-1912,,,,,,,,,,,
loc.ark+=13960=t4bp0rb8b,1912,1912,1912,random,779908,,Goodwin[COMMA] Grace Duffield.,Boston;Sherman[COMMA] French & company;1912.,,Horizon songs,,,,,,1869,f,us,,,
uc2.ark+=13960=t1td9p63g,1912,1912,1912,random,7921812,,Peterson[COMMA] Edmund Deacon.,New York;The Cosmopolitan press;1912.,,Eros[COMMA] and other poems,,,,,,1853,m,us,,birthdate is guesswork,
nyp.33433076039506,1912,1912,1912,random,8655537,,Adams[COMMA] Adeline[COMMA],New York;Priv. Print.;1912.,,Sylvia,,,,,,1858,f,us,,,
uc2.ark+=13960=t3qv3cf46,1912,1912,1912,random,7664477,,Kiser[COMMA] Samuel E.,Chicago;P. F. Volland;1912.,,The land of little care,,,,,,1862,m,us,,,
uc2.ark+=13960=t5db86m4v,1912,1912,1912,random,6154333,,Henderson[COMMA] Alice Corbin[COMMA],Chicago;R. F. Seymour;c1912,,The spinning woman of the sky;,,,,,,1881,f,us,,,
uc2.ark+=13960=t5h98zx14,1912,1912,1912,reviewed,,,Lowell[COMMA] Amy[COMMA],Boston;Houghton Mifflin Co.;1912.,,A dome of many-colored glass,rev,,,1914,EGO,1874,f,us,,,y
uc2.ark+=13960=t8qc01599,1911,1911,1911,reviewed,6501813,1468399,Davies[COMMA] W. H.,London;A. C. Fifield;1911.,,Songs of joy and others,rev,pos,,1914,FR,1871,m,uk,,,
nyp.33433074800131,1911,1911,1911,reviewed,8656854,2046049,Wilkinson[COMMA] Marguerite Ogden Bigelow[COMMA],Boston;Sherman[COMMA] French & company;1911.,,In vivid gardens; songs of the woman spirit,rev,,,1913,PMV,1883,f,us,,,
uc2.ark+=13960=t3rv0d813,1911,1911,1911,reviewed,7650004,7335020,Watts[COMMA] Harvey Maitland[COMMA],Philadelphia;The John C. Winston company;1911.,,The wife of Potiphar,rev,neg,,1913,PMV,1864,m,us,,,
uc2.ark+=13960=t6d221h2q,1911,1911,1911,random,7917155,,Phipps[COMMA] Sarah Metcalf.,New York;1911.,,Thoughts in rhyme,,,,,,,,,,,
nyp.33433074826789,1911,1911,1911,random,7649974,,Warman[COMMA] Cy[COMMA],Boston;Rand Avery co.; [etc.[COMMA] etc.;c1911,,Songs of Cy Warman,,,,,,1855,m,us,,,
